Acute,Pain on bony prominence of shoulder?,Pain while moving across body?,"Did you fall on your shoulder, or ram it against something?",Bruising,Buldge near shoulder?,Pain with overhead activities,Output
0,0,1,1,0,1,1,"Chronic inflammation to the acromioclavicular joint, rotator cuff along with potential clavicular bone damage. Medical attention is recommended to rule out any fractures"
0,0,1,1,1,0,0,Potential chronic inflammation of the AC joint. Focus on movement quality and corrective exercises is recommended.
0,0,1,1,1,0,1,"Chronic dysfunction and inflammation of AC joint and rotator cuff. If discoloration/brusing is suspected from a more recent injury, medical attention is recommended. "
0,0,1,1,1,1,0,A fall or blunt force trauma event suffered > 3 months ago could have damaged your rotator cuff. It is advised that you seek meical treatment to rule out any fractures
0,0,1,1,1,1,1,A fall or blunt force trauma event suffered > 3 months ago could have damaged your rotator cuff. It is advised that you seek meical treatment to rule out any fractures
0,1,0,0,0,0,0,Potential chronic inflammation of the AC joint.
0,1,0,0,0,0,1,Potential chronic inflammation of AC joint and rotator cuff. Focus on movement quality an corrective exercises is recommended.
0,1,0,0,0,1,0,A fall or blunt force trauma event suffered > 3 months ago could have damaged your rotator cuff. It is advised that you seek meical treatment to rule out any fractures.
0,1,0,0,0,1,1,A fall or blunt force trauma event suffered > 3 months ago could have damaged your rotator cuff. It is advised that you seek meical treatment to rule out any fractures
0,1,0,0,1,0,0,Potential chronic inflammation of the AC joint. Focus on movement quality and corrective exercises is recommended.
0,1,0,0,1,0,1,Potential chronic inflammation of AC joint and rotator cuff. Focus on movement quality an corrective exercises is recommended.
0,1,0,0,1,1,0,Potential chronic AC joint inflammation and or humeral head injury. Medical attention is recommended to rule out any potential fractures or dislocations. 
0,1,0,0,1,1,1,"Chronic inflammation to the acromioclavicular joint, or AC along with potential rotator cuff inflammation. Medical attention is recommended to rule out any fractures"
0,1,0,1,0,0,0,Potential chronic inflammation of the AC joint. Focus on movement quality and corrective exercises is recommended.
0,1,0,1,0,0,1,Potential chronic inflammation of AC joint and rotator cuff. Focus on movement quality an corrective exercises is recommended.
0,1,0,1,0,1,0,Potential chronic AC joint inflammation and or humeral head injury. Medical attention is recommended to rule out any potential fractures or dislocations. 
0,1,0,1,0,1,1,"Potential injury to the AC joint and rotator cuff. If the initial injury to this region has still not resolved, please seek medical attention to rule out any poential fractures or dislocations."
0,1,0,1,1,0,0,Potential chronic inflammation of the AC joint. Focus on movement quality and corrective exercises is recommended.
0,1,0,1,1,0,1,Potential chronic inflammation of AC joint and rotator cuff. Focus on movement quality an corrective exercises is recommended.
0,1,0,1,1,1,0,Potential chronic AC joint inflammation and or humeral head injury. Medical attention is recommended to rule out any potential fractures or dislocations. 
0,1,0,1,1,1,1,"Potential injury to the AC joint and rotator cuff. If the initial injury to this region has still not resolved, please seek medical attention to rule out any poential fractures or dislocations."
0,1,1,0,0,0,0,Potential chronic inflammation of the AC joint. Focus on movement quality and corrective exercises is recommended.
0,1,1,0,0,0,1,"Chronic inflammation to the acromioclavicular joint, or AC along with potential rotator cuff inflammation"
0,1,1,0,0,1,0,Potential chronic AC joint inflammation and or humeral head injury. Medical attention is recommended to rule out any potential fractures or dislocations. 
0,1,1,0,0,1,1,"Chronic inflammation to the acromioclavicular joint, or AC along with potential rotator cuff inflammation. Medical attention is recommended to rule out any fractures"
0,1,1,0,1,0,0,Potential chronic inflammation of the AC joint. Focus on movement quality and corrective exercises is recommended.
0,1,1,0,1,0,1,Potential chronic inflammation of AC joint and rotator cuff. Focus on movement quality an corrective exercises is recommended.
0,1,1,0,1,1,0,Potential chronic AC joint inflammation and or humeral head injury. Medical attention is recommended to rule out any potential fractures or dislocations. 
0,1,1,0,1,1,1,"Chronic inflammation to the acromioclavicular joint, or AC along with potential rotator cuff inflammation. Medical attention is recommended to rule out any fractures"
0,1,1,1,0,0,0,Potential chronic inflammation of the AC joint. Focus on movement quality and corrective exercises is recommended.
0,1,1,1,0,0,1,A fall or blunt force trauma event suffered > 3 months ago could have damaged your AC joint and rotator cuff
0,1,1,1,0,1,0,Potential chronic AC joint inflammation and or humeral head injury. Medical attention is recommended to rule out any potential fractures or dislocations. 
0,1,1,1,0,1,1,"Potential injury to the AC joint and rotator cuff. If the initial injury to this region has still not resolved, please seek medical attention to rule out any poential fractures or dislocations."
0,1,1,1,1,0,0,Potential chronic inflammation of the AC joint. Focus on movement quality and corrective exercises is recommended.
0,1,1,1,1,0,1,Potential chronic inflammation of AC joint and rotator cuff. Focus on movement quality an corrective exercises is recommended.
0,1,1,1,1,1,0,Potential chronic AC joint inflammation and or humeral head injury. Medical attention is recommended to rule out any potential fractures or dislocations. 
0,1,1,1,1,1,1,"Potential injury to the AC joint and rotator cuff. If the initial injury to this region has still not resolved, please seek medical attention to rule out any poential fractures or dislocations."
1,0,0,0,0,0,0,Acute shoulder injury. The RICE protocol is recommended.
1,0,0,0,0,0,1,"Potential acute onset of rotator cuff dysfunction. If the injured site does not improve/mobility is not restored within x days, medical attention is recommended to rule out any rotator cuff tear"
1,0,0,0,0,1,0,Potential acute dislocation. Medical attention is recommened to rule out any fractures. 
1,0,0,0,0,1,1,Potential acute injury to collarbone or humeral head. Medical attention is recommended to rule out any fractures or dislocations. 
1,0,0,0,1,0,0,Acute shoulder injury. The RICE protocol is recommended.
1,0,0,0,1,0,1,"Potential acute onset of rotator cuff dysfunction. If the injured site does not improve/mobility is not restored within x days, medical attention is recommended to rule out any rotator cuff tear"
1,0,0,0,1,1,0,Potential acute dislocation. Medical attention is recommened to rule out any fractures. 
1,0,0,0,1,1,1,Potential acute injury to collarbone or humeral head. Medical attention is recommended to rule out any fractures or dislocations. 
1,0,0,1,0,0,0,Acute shoulder injury. The RICE protocol is recommended.
1,0,0,1,0,0,1,"Potential injury to the AC joint and rotator cuff. If the injured site does not improve/mobility is not restored within x days, medical attention is recommended to rule out any rotator cuff tear"
1,0,0,1,0,1,0,Potential acute dislocation. Medical attention is recommened to rule out any fractures. 
1,0,0,1,0,1,1,Potential acute injury to AC joint and rotator cuff. Medical attention is recommended to rule out any fractures or dislocations. 
1,0,0,1,1,0,0,Acute shoulder injury. The RICE protocol is recommended.
1,0,0,1,1,0,1,"Potential injury to the AC joint and rotator cuff. If the injured site does not improve/mobility is not restored within x days, medical attention is recommended to rule out any rotator cuff tear"
1,0,0,1,1,1,0,Potential acute dislocation. Medical attention is recommened to rule out any fractures. 
1,0,0,1,1,1,1,Potential acute injury to colarbone or rotator cuff. Medical attention is recommended to rule out any fractures or disolcations. 
1,0,1,0,0,0,0,"Potential acute AC joint inflammation. If the injured region does not improve/mobility does not return within x days, consider seeking medical attention to rule out any more serious injury. "
1,0,1,0,0,0,1,"Acute injury of the shoulder. Potential AC joint and rotator cuff injury. If mobility doesn't improve in x days, seek medical attention to rule out tears."
1,0,1,0,0,1,0,Potential acute dislocation. Medical attention is recommened to rule out any fractures. 
1,0,1,0,0,1,1,Potential acute injury to collarbone or humeral head. Medical attention is recommended to rule out any fractures or dislocations. 
1,0,1,0,1,0,0,"Potential acute AC joint inflammation. If the injured region does not improve/mobility does not return within x days, consider seeking medical attention to rule out any more serious injury. "
1,0,1,0,1,0,1,"Acute injury of the shoulder. Potential AC joint and rotator cuff injury. If mobility doesn't improve in x days, seek medical attention to rule out tears."
1,0,1,0,1,1,0,Potential acute dislocation. Medical attention is recommened to rule out any fractures. 
1,0,1,0,1,1,1,Potential acute injury to collarbone or humeral head. Medical attention is recommended to rule out any fractures or dislocations. 
1,0,1,1,0,0,0,"Potential acute AC joint inflammation. If the injured region does not improve/mobility does not return within x days, consider seeking medical attention to rule out any more serious injury. "
1,0,1,1,0,0,1,"Potential injury to the AC joint and rotator cuff. If the injured site does not improve/mobility is not restored within x days, medical attention is recommended to rule out any rotator cuff tear"
1,0,1,1,0,1,0,Potential acute dislocation. Medical attention is recommened to rule out any fractures. 
1,0,1,1,0,1,1,Potential acute injury to AC joint and rotator cuff. Medical attention is recommended to rule out any fractures or dislocations. 
1,0,1,1,1,0,0,"Potential acute AC joint inflammation. If the injured region does not improve/mobility does not return within x days, consider seeking medical attention to rule out any more serious injury. "
1,0,1,1,1,0,1,"Potential injury to the AC joint and rotator cuff. If the injured site does not improve/mobility is not restored within x days, medical attention is recommended to rule out any rotator cuff tear"
1,0,1,1,1,1,0,Potential acute dislocation. Medical attention is recommened to rule out any fractures. 
1,0,1,1,1,1,1,Potential acute injury to AC joint and rotator cuff. Medical attention is recommended to rule out any fractures or dislocations. 
1,1,0,0,0,0,0,"Potential acute injury of the AC joint. If the injured region does not improve/mobility does not return within x days, consider seeking medical attention to rule out any tears."
1,1,0,0,0,0,1,"Acute injury of the shoulder. Potential AC joint and rotator cuff injury. If mobility doesn't improve in x days, seek medical attention to rule out tears."
1,1,0,0,0,1,0,Potential acute injury to the AC joint or humeral head. It is recommended that you seek medical attention to rule out any fractures or dislocations.
1,1,0,0,0,1,1,Potential acute injury to collarbone or humeral head. Medical attention is recommended to rule out any fractures or dislocations. 
1,1,0,0,1,0,0,"Potential acute injury of the AC joint. If the injured region does not improve/mobility does not return within x days, consider seeking medical attention to rule out any tears."
1,1,0,0,1,0,1,"Acute injury of the shoulder. Potential AC joint and rotator cuff injury. If mobility doesn't improve in x days, seek medical attention to rule out tears."
1,1,0,0,1,1,0,Potential acute injury to the AC joint or humeral head. It is recommended that you seek medical attention to rule out any fractures or dislocations.
1,1,0,0,1,1,1,Potential acute injury to collarbone or humeral head. Medical attention is recommended to rule out any fractures or dislocations. 
1,1,0,1,0,0,0,"Potential acute injury of the AC joint. If the injured region does not improve/mobility does not return within x days, consider seeking medical attention to rule out any tears."
1,1,0,1,0,0,1,"Potential injury to the AC joint and rotator cuff. If the injured site does not improve/mobility is not restored within x days, medical attention is recommended to rule out any rotator cuff tear"
1,1,0,1,0,1,0,Potential acute injury to the AC joint or humeral head. It is recommended that you seek medical attention to rule out any fractures or dislocations.
1,1,0,1,0,1,1,Potential acute injury to AC joint and rotator cuff. Medical attention is recommended to rule out any fractures or dislocations. 
1,1,0,1,1,0,0,"Potential acute injury of the AC joint. If the injured region does not improve/mobility does not return within x days, consider seeking medical attention to rule out any tears."
1,1,0,1,1,0,1,"Potential injury to the AC joint and rotator cuff. If the injured site does not improve/mobility is not restored within x days, medical attention is recommended to rule out any rotator cuff tear"
1,1,0,1,1,1,0,Potential acute injury to the AC joint or humeral head. It is recommended that you seek medical attention to rule out any fractures or dislocations.
1,1,0,1,1,1,1,Potential acute injury to AC joint and rotator cuff. Medical attention is recommended to rule out any fractures or dislocations. 
1,1,1,0,0,0,0,"Potential acute injury of the AC joint. If the injured region does not improve/mobility does not return within x days, consider seeking medical attention to rule out any tears."
1,1,1,0,0,0,1,"Acute injury of the shoulder. Potential AC joint and rotator cuff injury. If mobility doesn't improve in x days, seek medical attention to rule out tears."
1,1,1,0,0,1,0,Potential acute injury to the AC joint or humeral head. It is recommended that you seek medical attention to rule out any fractures or dislocations.
1,1,1,0,0,1,1,Potential acute injury to collarbone or humeral head. Medical attention is recommended to rule out any fractures or dislocations. 
1,1,1,0,1,0,0,"Potential acute injury of the AC joint. If the injured region does not improve/mobility does not return within x days, consider seeking medical attention to rule out any tears."
1,1,1,0,1,0,1,"Acute injury of the shoulder. Potential AC joint and rotator cuff injury. If mobility doesn't improve in x days, seek medical attention to rule out tears."
1,1,1,0,1,1,0,Potential acute injury to the AC joint or humeral head. It is recommended that you seek medical attention to rule out any fractures or dislocations.
1,1,1,0,1,1,1,Potential acute injury to collarbone or humeral head. Medical attention is recommended to rule out any fractures or dislocations. 
1,1,1,1,0,0,0,"Potential acute injury of the AC joint. If the injured region does not improve/mobility does not return within x days, consider seeking medical attention to rule out any tears."
1,1,1,1,0,0,1,"Potential injury to the AC joint and rotator cuff. If the injured site does not improve/mobility is not restored within x days, medical attention is recommended to rule out any rotator cuff tear"
1,1,1,1,0,1,0,Potential acute injury to the AC joint or humeral head. It is recommended that you seek medical attention to rule out any fractures or dislocations.
1,1,1,1,0,1,1,Potential acute injury to AC joint and rotator cuff. Medical attention is recommended to rule out any fractures or dislocations. 
1,1,1,1,1,0,0,"Potential acute injury of the AC joint. If the injured region does not improve/mobility does not return within x days, consider seeking medical attention to rule out any tears."
1,1,1,1,1,0,1,"Potential injury to the AC joint and rotator cuff. If the injured site does not improve/mobility is not restored within x days, medical attention is recommended to rule out any rotator cuff tear"
1,1,1,1,1,1,0,Potential acute injury to the AC joint or humeral head. It is recommended that you seek medical attention to rule out any fractures or dislocations.
1,1,1,1,1,1,1,Potential acute injury to AC joint and rotator cuff. Medical attention is recommended to rule out any fractures or dislocations. 
